"question_key","reason","source_file"
"poa-clinical:8575","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"poultry:1702","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-poultry.js"
"poultry:1707","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-poultry.js"
"poultry:1714","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-poultry.js"
"poultry:1719","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-poultry.js"
"poultry:1728","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-poultry.js"
"poultry:1729","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-poultry.js"
"poultry:1731","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-poultry.js"
"poultry:1736","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-poultry.js"
"poultry:1741","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-poultry.js"
"poultry:1747","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-poultry.js"
"poultry:1750","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-poultry.js"
"poultry:1759","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-poultry.js"
"poultry:1763","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-poultry.js"
"rec-adv-bioscience:8041","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-final-mixed.js"
"ruminant-clinical:8053","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-final-mixed.js"
"ruminant-clinical:8550","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"ruminant-clinical:8551","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"ruminant-clinical:8552","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"ruminant-clinical:8553","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"ruminant-clinical:8554","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"ruminant-clinical:8555","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"swine-clinic:8021","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-final-mixed.js"
"swine-clinic:8024","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-final-mixed.js"
"swine-clinic:8027","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-final-mixed.js"
"vca:8000","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-final-mixed.js"
"vca:8006","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-final-mixed.js"
"vca:8013","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-final-mixed.js"
"vca:8035","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-final-mixed.js"
"vca:8037","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-final-mixed.js"
"vet-juris:93037","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-vet-juris.js"
